lekon	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_english	nt_idn	nt_tapah	nt_comment	nt_xref	Concepticon_Gloss	Concepticon_ID	concept_url
150. bêsélò	150	bêsélò		zitten (met de benen kruiselings)	to sit (with the legs crossed)	bersila	127	129	126	TRUE	sit									NA	https://concepticon.clld.org/parameters/NA
151. nitòepang toepang	151	nitòepang toepang		zitten (met de beide benen op zij en gebogen)	to sit (with the knees bent to one side)	bertimpuh	128	130	127	TRUE	sit									NA	https://concepticon.clld.org/parameters/NA
152. toemó-a tó-a	152	toemó-a tó-a		hurken	to squat	berjongkok	129	131	128	FALSE									SQUAT	3163	https://concepticon.clld.org/parameters/3163
153. loemang-è	153	loemang-è		zwemmen	to swim	berenang	131	133	129	TRUE	swim, to								SWIM	1439	https://concepticon.clld.org/parameters/1439
154. doemè	154	doemè		baden <intr.>	to take a bath	mandi	169	173	130	FALSE									WASH	1453	https://concepticon.clld.org/parameters/1453
156. gagap	156	gagap		stotteren	to stammer	gagap	133	135	132	FALSE									STUTTER	1866	https://concepticon.clld.org/parameters/1866
158. léng	158	léng		stem	voice	suara	135	137	133	FALSE									VOICE	1363	https://concepticon.clld.org/parameters/1363
159. mahalò	159	mahalò		schor(hees)	hoarse	parau	-	716	134	FALSE										NA	https://concepticon.clld.org/parameters/NA
160. mangipoefan-oemifal	160	mangipoefan-oemifal		schreeuwen	to shout	berteriak	136	138	-	FALSE									SHOUT	715	https://concepticon.clld.org/parameters/715
161. oemichêm	161	oemichêm		lachen	to laugh	tertawa	137	139	135	TRUE	laugh								LAUGH	1355	https://concepticon.clld.org/parameters/1355
163. oemêngìh	163	oemêngìh		schreien <intr.>	to weep	menangis	138	140	137	TRUE	cry								CRY	1839	https://concepticon.clld.org/parameters/1839
165. oemiengòh	165	oemiengòh		glimlachen	to smile	tersenyum	139	141	139	FALSE									SMILE	1451	https://concepticon.clld.org/parameters/1451
166. oemai naina	166	oemai naina		zuchten	to sigh	berkeluh kesah, mengeluh	140	142	140	FALSE										NA	https://concepticon.clld.org/parameters/NA
167. mèsiloel	167	mèsiloel		spugen, spuwen	to spit	meludah	141	143	141	FALSE									SPIT	1440	https://concepticon.clld.org/parameters/1440
169. mèfanan	169	mèfanan		niezen	to sneeze	bersin	142	144	143	FALSE									SNEEZE	1621	https://concepticon.clld.org/parameters/1621
170. tòhò	170	tòhò		hoesten	to cough	batuk	143	145	144	FALSE									COUGH	879	https://concepticon.clld.org/parameters/879
172. êndó êndóten	172	êndó êndóten		hik	hiccups	tersedu	-	146	-	FALSE									HICCOUGH	162	https://concepticon.clld.org/parameters/162
173. bêtêchên	173	bêtêchên		zich verslikken	to choke	tersedak	-	147	146	FALSE									CHOKE	129	https://concepticon.clld.org/parameters/129
174. oemeu-a	174	oemeu-a		boer (oprisping)	belch	sendawa	-	148	147	FALSE		typo in the original as serdawa; should be sendawa							BELCH	2245	https://concepticon.clld.org/parameters/2245
176. matoelè toelè	176	matoelè toelè		gapen	to yawn	menguap	144	149	149	FALSE									YAWN	1028	https://concepticon.clld.org/parameters/1028
177. oemango angó	177	oemango angó		knikken	to nod	mengangguk	145	150	-	FALSE										NA	https://concepticon.clld.org/parameters/NA
182. òrip	182	òrip		leven (levend)	to live (alive)	hidup	163	168	154	TRUE	live								BE ALIVE	1422	https://concepticon.clld.org/parameters/1422
183. matè	183	matè		sterven	to die	meninggal dunia	161	166	155	TRUE	die								DIE	1494	https://concepticon.clld.org/parameters/1494
184. matè	184	matè		dood (zelfstnw.)	death	kematian	164	169	-	FALSE									DEATH	910	https://concepticon.clld.org/parameters/910
188. ma-èt	188	ma-èt		lijk	corpse	mayat	162	167	-	FALSE									CORPSE	767	https://concepticon.clld.org/parameters/767
191. djirat	191	djirat		graf	grave	kuburan	244	242	160	FALSE									GRAVE	1773	https://concepticon.clld.org/parameters/1773
192. nifoenoeh	192	nifoenoeh		doden	to kill	membunuh	166	170	161	TRUE	kill								KILL	1417	https://concepticon.clld.org/parameters/1417
196. baǐlen	196	baǐlen		wond	wound	luka	177	181	163	FALSE									WOUND	1109	https://concepticon.clld.org/parameters/1109
197. èsah	197	èsah		zweer	an infected wound	luka bernanah	178	182	-	FALSE									INFECTED	548	https://concepticon.clld.org/parameters/548
198. soet	198	soet		litteken	scar	bekas luka	179	183	164	FALSE									SCAR	497	https://concepticon.clld.org/parameters/497
199. akos	199	akos		ziek	ill	sakit	730	748	165	FALSE									SICK	1847	https://concepticon.clld.org/parameters/1847
200. akòih	200	akòih		ziek zijn	to be ill	merasa sakit	175	180	-	FALSE									SICK	1847	https://concepticon.clld.org/parameters/1847
202. ba-on akoih	202	ba-on akoih		gezond	healthy	sehat	731	749	167	FALSE									HEALTHY	1364	https://concepticon.clld.org/parameters/1364
203. afaleu	203	afaleu		steenpuist	boil	bisul	180	184	168	FALSE									BOIL (OF SKIN)	793	https://concepticon.clld.org/parameters/793
205. mahón	205	mahón		koorts	fever	demam (k.b.)	181	185	-	FALSE									FEVER	1534	https://concepticon.clld.org/parameters/1534
207. akoih bìsìl	207	akoih bìsìl		buikpijn	stomach ache	sakit perut	182	186	-	FALSE										NA	https://concepticon.clld.org/parameters/NA
209. bochè	209	bochè		buikloop	diarrhoea	menceret (k.b.)	183	187	-	FALSE									DIARRHEA	1177	https://concepticon.clld.org/parameters/1177
210. pelawar	210	pelawar		pokken	small pox	cacar	184	188	172	FALSE									SMALLPOX	1054	https://concepticon.clld.org/parameters/1054
211. lamatoe	211	lamatoe		mazelen	measles	campak	185	189	-	FALSE									MEASLES	3389	https://concepticon.clld.org/parameters/3389
214. bahé	214	bahé		uitslag	eruption (of rash)	ruam	186	190	-	FALSE										NA	https://concepticon.clld.org/parameters/NA
219. akos oeloe	219	akos oeloe		hoofdpijn	headache	sakit kepala, pusing	187	191	-	FALSE									HEADACHE	3625	https://concepticon.clld.org/parameters/3625
220. akoìh sòt	220	akoìh sòt		rheumatiek	rheumatism	sengal, encok	188	192	179	FALSE										NA	https://concepticon.clld.org/parameters/NA
222. akos ichoeng	222	akos ichoeng		verkoudheid	a cold	selesma	189	193	-	FALSE									COMMON COLD (DISEASE)	102	https://concepticon.clld.org/parameters/102
223. ménacha	223	ménacha		slapen van de ledematen, slaap (mierenkriewel)	gone to sleep (limbs)	kesemutan	191	195	181	FALSE										NA	https://concepticon.clld.org/parameters/NA
225. la eupan	225	la eupan		verlamd	paralysed	lumpuh	192	196	182	FALSE									DISABLED PERSON	3621	https://concepticon.clld.org/parameters/3621
227. kêlò	227	kêlò		stom	mute	bisu	193	197	184	FALSE									MUTE PERSON	2320	https://concepticon.clld.org/parameters/2320
228. mèngêl	228	mèngêl		doof	deaf	tuli	194	198	185	FALSE									DEAF PERSON	458	https://concepticon.clld.org/parameters/458
229. afoeta	229	afoeta		blind	blind	buta	195	199	186	FALSE									BLIND	1653	https://concepticon.clld.org/parameters/1653
231. djoeling	231	djoeling		scheel	squinting	juling	196	200	188	FALSE									SQUINT-EYED	87	https://concepticon.clld.org/parameters/87
232. poelìh	232	poelìh		genezen	cured	sembuh	197	201	189	FALSE									CURE	499	https://concepticon.clld.org/parameters/499
234. dòn	234	dòn		geneesmiddel (met toverkracht)	medicine (with magic power)	obat (dari dukun)	199	202	-	FALSE									MAGIC	392	https://concepticon.clld.org/parameters/392
235. bidan	235	bidan		dokter (dukun)	doctor (medicine man)	dokter (dukun)	200	203	-	FALSE									SHAMAN (FOLK HEALER)	394	https://concepticon.clld.org/parameters/394
236. ata	236	ata		mens (in de zin van mensdom)	man, mankind	manusia	1	1	-	FALSE									PERSON	683	https://concepticon.clld.org/parameters/683
237. ata	237	ata		mens (in de zin van de mensen werden gedood)	people	orang	2	2	-	FALSE									PEOPLE	789	https://concepticon.clld.org/parameters/789
238. ata	238	ata		mens (in de zin van de mensen v. het gebergte zijn onze vijanden)	people	orang	3	3	-	FALSE									PEOPLE	789	https://concepticon.clld.org/parameters/789
239. kachan	239	kachan		naam	name	nama	113	114	192	TRUE									NAME	1405	https://concepticon.clld.org/parameters/1405
241. silahé	241	silahé		man	man	orang laki-laki	75	77	193	TRUE									MALE PERSON	2106	https://concepticon.clld.org/parameters/2106
242. silafè	242	silafè		vrouw	woman	orang perempuan	76	78	194	TRUE									WOMAN	962	https://concepticon.clld.org/parameters/962
243. silahé	243	silahé		mannelijk (v.d. mens)	male (human)	laki-laki	110	111	195	FALSE									MALE (OF PERSON)	2261	https://concepticon.clld.org/parameters/2261
244. singèl	244	singèl		mannelijk (v.d.dieren)	male (animal)	jantan	110	111	195	FALSE									MALE (OF ANIMAL)	2263	https://concepticon.clld.org/parameters/2263
245. alafè	245	alafè		vrouwelijk (v.d.mens)	female (human)	perempuan	112	113	196	FALSE									FEMALE (OF PERSON)	2260	https://concepticon.clld.org/parameters/2260
246. alafè	246	alafè		vrouwelijk (v.d. dieren)	female (animal)	betina	112	113	196	FALSE									FEMALE (OF ANIMAL)	2262	https://concepticon.clld.org/parameters/2262
248. ana' mangoera ngoera	248	ana' mangoera ngoera		maagd	virgin	gadis	77	79	-	FALSE									VIRGIN	2298	https://concepticon.clld.org/parameters/2298
250. ana' silahé	250	ana' silahé		jongen	boy, lad	anak laki-laki	78	80	-	FALSE									BOY OR SON	2391	https://concepticon.clld.org/parameters/2391
252. ana' silafè	252	ana' silafè		meisje	girl	gadis	79	81	-	FALSE									GIRL	1646	https://concepticon.clld.org/parameters/1646
255. amangó	255	amangó		vader	father	ayah	80	82	201	TRUE									FATHER	1217	https://concepticon.clld.org/parameters/1217
256. inangó	256	inangó		moeder	mother	ibu	81	83	202	TRUE									MOTHER	1216	https://concepticon.clld.org/parameters/1216
257. ana'-ó si-a-a	257	ana'-ó si-a-a		oudste kind	oldest child	anak sulung	82	84	204	FALSE										NA	https://concepticon.clld.org/parameters/NA
258. ana'-ó inachie	258	ana'-ó inachie		jongste kind	youngest child	anak bungsu	82	84	205	FALSE										NA	https://concepticon.clld.org/parameters/NA
261. ana' silahé	261	ana' silahé		zoon	son	anak laki-laki	83	85	-	FALSE									SON	1620	https://concepticon.clld.org/parameters/1620
262. ana' silafè	262	ana' silafè		dochter	daughter	anak perempuan	84	86	-	FALSE									DAUGHTER	1357	https://concepticon.clld.org/parameters/1357
263. nènèh	263	nènèh		grootvader	grandfather	nenek laki-laki (kakek)	85	87	207	FALSE									GRANDFATHER	1383	https://concepticon.clld.org/parameters/1383
264. nênêh	264	nênêh		grootmoeder	grandmother	nenek perempuan (nenek)	89	90	208	FALSE									GRANDMOTHER	1496	https://concepticon.clld.org/parameters/1496
266. mójang	266	mójang		overgrootouders	great-grandparents	moyang	86	88	-	FALSE										NA	https://concepticon.clld.org/parameters/NA
267. ata semónan	267	ata semónan		voorouders	ancestors	leluhur, nenek moyang	88	89	-	FALSE									ANCESTORS	1669	https://concepticon.clld.org/parameters/1669
268. ka-oe-ò	268	ka-oe-ò		broeder	brother	saudara laki-laki	90	91	-	TRUE									BROTHER	1262	https://concepticon.clld.org/parameters/1262
269. ka-oe-ò oepìh	269	ka-oe-ò oepìh		zuster	sister	saudara perempuan	91	92	-	TRUE									SISTER	1263	https://concepticon.clld.org/parameters/1263
270. ka-oe-ò	270	ka-oe-ò		oudere broeder	older brother	kakak laki-laki (kandung)	92	93	209	FALSE									OLDER BROTHER	1759	https://concepticon.clld.org/parameters/1759
271. ka-oe-ò oepìh	271	ka-oe-ò oepìh		oudere zuster	older sister	kakak perempuan (kandung)	92	93	209	FALSE									OLDER SISTER	1758	https://concepticon.clld.org/parameters/1758
272. adiq	272	adiq		jongere broeder	younger brother	adik laki-laki (kandung)	93	94	210	FALSE									YOUNGER BROTHER	1760	https://concepticon.clld.org/parameters/1760
273. adiq	273	adiq		jongere zuster	younger sister	adik perempuan (kandung)	93	94	210	FALSE									YOUNGER SISTER	1761	https://concepticon.clld.org/parameters/1761
274. mómbó	274	mómbó		kleinkind	grandchild	cucu	94	95	211	FALSE									GRANDCHILD	1617	https://concepticon.clld.org/parameters/1617
277. toeò	277	toeò		oom <FBo>	uncle FBo	paman FBo	96	97	-	FALSE									PATERNAL UNCLE (FATHER'S OLDER BROTHER)	2173	https://concepticon.clld.org/parameters/2173
278. bapa	278	bapa		oom <FBy>	uncle FBy	paman FBy	96	97	-	FALSE									PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	2174	https://concepticon.clld.org/parameters/2174
279. kakah	279	kakah		oom <MBo>	uncle MBo	paman MBo	96	97	-	FALSE									MATERNAL UNCLE (MOTHER'S OLDER BROTHER)	3249	https://concepticon.clld.org/parameters/3249
280. érangò	280	érangò		oom <MBy>	uncle MBy	paman MBy	96	97	-	FALSE									MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)	3250	https://concepticon.clld.org/parameters/3250
283. toeò sitò	283	toeò sitò		tante <FZo>	aunt FZo	bibi FZo	97	98	-	FALSE									PATERNAL AUNT (FATHER'S OLDER SISTER)	3041	https://concepticon.clld.org/parameters/3041
284. sau êngo	284	sau êngo		tante <FZy>	aunt FZy	bibi FZy	97	98	-	FALSE										NA	https://concepticon.clld.org/parameters/NA
285. kakah	285	kakah		tante <MZo>	aunt MZo	bibi MZo	97	98	-	FALSE									MATERNAL AUNT (MOTHER'S OLDER SISTER)	3042	https://concepticon.clld.org/parameters/3042
286. erangò	286	erangò		tante <MZy>	aunt MZy	bibi MZy	97	98	-	FALSE									MATERNAL AUNT (MOTHER'S YOUNGER SISTER)	3043	https://concepticon.clld.org/parameters/3043
297. simatòngó	297	simatòngó		schoonouders	parents-in-law	mertua	-	100a	216	FALSE									PARENTS-IN-LAW	306	https://concepticon.clld.org/parameters/306
299. aimèn ое	299	aimèn ое		schoonzoon	son-in-law	menantu laki-laki	100	101	-	FALSE									SON-IN-LAW	1056	https://concepticon.clld.org/parameters/1056
